callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
564046235,SPXW  220622C01000000,SPXW,"2,759.9",1000.0,100,0.0000,SPXW,SPXW  220622P01000000,564046739,
564046248,SPXW  220622C01200000,SPXW,"2,559.9",1200.0,100,0.0000,SPXW,SPXW  220622P01200000,564046745,
564046253,SPXW  220622C01400000,SPXW,"2,359.9",1400.0,100,0.0000,SPXW,SPXW  220622P01400000,564046748,
564046265,SPXW  220622C01600000,SPXW,"2,159.9",1600.0,100,0.0000,SPXW,SPXW  220622P01600000,564046757,
564046273,SPXW  220622C01800000,SPXW,"1,959.9",1800.0,100,0.0000,SPXW,SPXW  220622P01800000,564046762,
564046288,SPXW  220622C02000000,SPXW,"1,759.9",2000.0,100,0.0000,SPXW,SPXW  220622P02000000,564046767,
564046298,SPXW  220622C02200000,SPXW,"1,559.9",2200.0,100,0.0000,SPXW,SPXW  220622P02200000,564046772,
564046313,SPXW  220622C02400000,SPXW,"1,359.9",2400.0,100,0.0000,SPXW,SPXW  220622P02400000,564046779,
564046322,SPXW  220622C02600000,SPXW,"1,159.9",2600.0,100,0.0000,SPXW,SPXW  220622P02600000,564046790,
564046333,SPXW  220622C02800000,SPXW,959.89,2800.0,100,0.0000,SPXW,SPXW  220622P02800000,564046793,
567266959,SPXW  220622C02900000,SPXW,859.89,2900.0,100,0.0000,SPXW,SPXW  220622P02900000,567267461,
564046340,SPXW  220622C03000000,SPXW,759.89,3000.0,100,0.0000,SPXW,SPXW  220622P03000000,564046802,
567266971,SPXW  220622C03050000,SPXW,709.89,3050.0,100,0.0000,SPXW,SPXW  220622P03050000,567267473,
564046352,SPXW  220622C03100000,SPXW,659.89,3100.0,100,0.0000,SPXW,SPXW  220622P03100000,564046807,
567266989,SPXW  220622C03150000,SPXW,609.89,3150.0,100,0.0000,SPXW,SPXW  220622P03150000,567267496,
564046367,SPXW  220622C03200000,SPXW,559.89,3200.0,100,0.0000,SPXW,SPXW  220622P03200000,564046813,
564046371,SPXW  220622C03250000,SPXW,509.89,3250.0,100,0.0000,SPXW,SPXW  220622P03250000,564046817,
564046377,SPXW  220622C03300000,SPXW,459.89,3300.0,100,0.0000,SPXW,SPXW  220622P03300000,564046820,
564046391,SPXW  220622C03350000,SPXW,409.89,3350.0,100,0.0000,SPXW,SPXW  220622P03350000,564046830,
568520085,SPXW  220622C03375000,SPXW,384.89,3375.0,100,0.0000,SPXW,SPXW  220622P03375000,568520219,
564046397,SPXW  220622C03400000,SPXW,359.89,3400.0,100,0.0000,SPXW,SPXW  220622P03400000,564046832,
568520099,SPXW  220622C03410000,SPXW,349.89,3410.0,100,0.0000,SPXW,SPXW  220622P03410000,568520226,
568520105,SPXW  220622C03420000,SPXW,339.89,3420.0,100,0.0000,SPXW,SPXW  220622P03420000,568520246,
567267004,SPXW  220622C03425000,SPXW,334.89,3425.0,100,0.0000,SPXW,SPXW  220622P03425000,567267510,
568520114,SPXW  220622C03430000,SPXW,329.89,3430.0,100,0.0000,SPXW,SPXW  220622P03430000,568520257,
568520128,SPXW  220622C03440000,SPXW,319.89,3440.0,100,0.0000,SPXW,SPXW  220622P03440000,568520270,
564046410,SPXW  220622C03450000,SPXW,309.89,3450.0,100,0.0000,SPXW,SPXW  220622P03450000,564046842,
568520133,SPXW  220622C03460000,SPXW,299.89,3460.0,100,0.0000,SPXW,SPXW  220622P03460000,568520277,
568520145,SPXW  220622C03470000,SPXW,289.89,3470.0,100,0.0000,SPXW,SPXW  220622P03470000,568520294,
567267034,SPXW  220622C03475000,SPXW,284.89,3475.0,100,0.0000,SPXW,SPXW  220622P03475000,567267524,
567267039,SPXW  220622C03480000,SPXW,279.89,3480.0,100,0.0000,SPXW,SPXW  220622P03480000,567267541,
568520158,SPXW  220622C03485000,SPXW,274.89,3485.0,100,0.0000,SPXW,SPXW  220622P03485000,568520306,
567267058,SPXW  220622C03490000,SPXW,269.89,3490.0,100,0.0000,SPXW,SPXW  220622P03490000,567267570,
568520167,SPXW  220622C03495000,SPXW,264.89,3495.0,100,0.0000,SPXW,SPXW  220622P03495000,568520311,
564046415,SPXW  220622C03500000,SPXW,259.89,3500.0,100,0.0000,SPXW,SPXW  220622P03500000,564046847,
568520182,SPXW  220622C03505000,SPXW,254.89,3505.0,100,0.0000,SPXW,SPXW  220622P03505000,568520327,
