callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
561530372,VIXW  220622C00010000,VIXW,20.50,10.0,100,0.0001,VIXW,VIXW  220622P00010000,561531147,
561530325,VIXW  220622C00010500,VIXW,20.00,10.5,100,0.0001,VIXW,VIXW  220622P00010500,561531118,
561530418,VIXW  220622C00011000,VIXW,19.50,11.0,100,0.0001,VIXW,VIXW  220622P00011000,561531171,
561530394,VIXW  220622C00011500,VIXW,19.00,11.5,100,0.0001,VIXW,VIXW  220622P00011500,561531157,
561530462,VIXW  220622C00012000,VIXW,18.50,12.0,100,0.0001,VIXW,VIXW  220622P00012000,561531197,
561530437,VIXW  220622C00012500,VIXW,18.00,12.5,100,0.0001,VIXW,VIXW  220622P00012500,561531180,
561530499,VIXW  220622C00013000,VIXW,17.50,13.0,100,0.0001,VIXW,VIXW  220622P00013000,561531220,
561530483,VIXW  220622C00013500,VIXW,17.00,13.5,100,0.0001,VIXW,VIXW  220622P00013500,561531210,
561530539,VIXW  220622C00014000,VIXW,16.50,14.0,100,0.0001,VIXW,VIXW  220622P00014000,561531245,
561530519,VIXW  220622C00014500,VIXW,16.00,14.5,100,0.0001,VIXW,VIXW  220622P00014500,561531234,
561530549,VIXW  220622C00015000,VIXW,15.50,15.0,100,0.0001,VIXW,VIXW  220622P00015000,561531254,
561530567,VIXW  220622C00016000,VIXW,14.50,16.0,100,0.0001,VIXW,VIXW  220622P00016000,561531260,
561530588,VIXW  220622C00017000,VIXW,13.50,17.0,100,0.0001,VIXW,VIXW  220622P00017000,561531273,
561530612,VIXW  220622C00018000,VIXW,12.50,18.0,100,0.0001,VIXW,VIXW  220622P00018000,561531282,
561530639,VIXW  220622C00019000,VIXW,11.50,19.0,100,0.0001,VIXW,VIXW  220622P00019000,561531293,
561530663,VIXW  220622C00020000,VIXW,10.50,20.0,100,0.0001,VIXW,VIXW  220622P00020000,561531307,
561530684,VIXW  220622C00021000,VIXW,9.50,21.0,100,0.0001,VIXW,VIXW  220622P00021000,561531317,
561530704,VIXW  220622C00022000,VIXW,8.50,22.0,100,0.0001,VIXW,VIXW  220622P00022000,561531330,
561530729,VIXW  220622C00023000,VIXW,7.50,23.0,100,0.0001,VIXW,VIXW  220622P00023000,561531341,
561530749,VIXW  220622C00024000,VIXW,6.50,24.0,100,0.0001,VIXW,VIXW  220622P00024000,561531356,
561530774,VIXW  220622C00025000,VIXW,5.50,25.0,100,0.0001,VIXW,VIXW  220622P00025000,561531375,
561530794,VIXW  220622C00026000,VIXW,4.500,26.0,100,0.0001,VIXW,VIXW  220622P00026000,561531390,
561530814,VIXW  220622C00027000,VIXW,3.500,27.0,100,0.0001,VIXW,VIXW  220622P00027000,561531405,
561530825,VIXW  220622C00028000,VIXW,2.500,28.0,100,0.0001,VIXW,VIXW  220622P00028000,561531417,
561530845,VIXW  220622C00029000,VIXW,1.500,29.0,100,0.0001,VIXW,VIXW  220622P00029000,561531439,
561530852,VIXW  220622C00030000,VIXW,0.5000,30.0,100,0.0001,VIXW,VIXW  220622P00030000,561531451,
561530874,VIXW  220622C00032500,VIXW,0.0001,32.5,100,2.000,VIXW,VIXW  220622P00032500,561531459,
561530880,VIXW  220622C00035000,VIXW,0.0001,35.0,100,4.500,VIXW,VIXW  220622P00035000,561531474,
561530900,VIXW  220622C00037500,VIXW,0.0001,37.5,100,7.00,VIXW,VIXW  220622P00037500,561531485,
561530914,VIXW  220622C00040000,VIXW,0.0001,40.0,100,9.50,VIXW,VIXW  220622P00040000,561531499,
561530925,VIXW  220622C00042500,VIXW,0.0001,42.5,100,12.00,VIXW,VIXW  220622P00042500,561531509,
561530940,VIXW  220622C00045000,VIXW,0.0001,45.0,100,14.50,VIXW,VIXW  220622P00045000,561531519,
561530948,VIXW  220622C00047500,VIXW,0.0001,47.5,100,17.00,VIXW,VIXW  220622P00047500,561531530,
561530970,VIXW  220622C00050000,VIXW,0.0001,50.0,100,19.50,VIXW,VIXW  220622P00050000,561531540,
561530979,VIXW  220622C00055000,VIXW,0.0001,55.0,100,24.50,VIXW,VIXW  220622P00055000,561531550,
561530994,VIXW  220622C00060000,VIXW,0.0001,60.0,100,29.50,VIXW,VIXW  220622P00060000,561531560,
561531000,VIXW  220622C00065000,VIXW,0.0001,65.0,100,34.50,VIXW,VIXW  220622P00065000,561531574,
561531016,VIXW  220622C00070000,VIXW,0.0001,70.0,100,39.50,VIXW,VIXW  220622P00070000,561531585,
561531036,VIXW  220622C00075000,VIXW,0.0001,75.0,100,44.50,VIXW,VIXW  220622P00075000,561531598,
561531055,VIXW  220622C00080000,VIXW,0.0001,80.0,100,49.50,VIXW,VIXW  220622P00080000,561531610,
561531070,VIXW  220622C00085000,VIXW,0.0001,85.0,100,54.50,VIXW,VIXW  220622P00085000,561531622,
