id,symbol,exchange,type,step,side,trade
1,LOQ2 C10300,NYMEX,FOP,0.01,buy,False
2,LOQ2 C10350,NYMEX,FOP,0.01,buy,False
3,LOQ2 C10400,NYMEX,FOP,0.01,buy,False
4,LOQ2 C10450,NYMEX,FOP,0.01,buy,False
5,LOQ2 C10500,NYMEX,FOP,0.01,buy,False
6,LOQ2 C10550,NYMEX,FOP,0.01,buy,False
7,LOQ2 C10600,NYMEX,FOP,0.01,buy,False
8,LOQ2 C10650,NYMEX,FOP,0.01,buy,False
9,LOQ2 C10700,NYMEX,FOP,0.01,buy,False
10,LOQ2 C10750,NYMEX,FOP,0.01,buy,False
12,LOQ2 C10850,NYMEX,FOP,0.01,buy,False
13,LOQ2 C10900,NYMEX,FOP,0.01,buy,False
14,LOQ2 C10950,NYMEX,FOP,0.01,buy,False
15,LOQ2 C11000,NYMEX,FOP,0.01,buy,False
16,LOQ2 C11050,NYMEX,FOP,0.01,buy,False
