id,symbol,exchange,type,step,side,trade
1,C OMSX 20220630 3400,DTB,OPT,0.1,buy,True
2,C OMSX 20220630 3425,DTB,OPT,0.1,buy,True
3,C OMSX 20220630 3450,DTB,OPT,0.1,buy,True
4,C OMSX 20220630 3475,DTB,OPT,0.1,buy,True
5,C OMSX 20220630 3500,DTB,OPT,0.1,buy,True
6,C OMSX 20220630 3525,DTB,OPT,0.1,buy,True
11,P OMSX 20220630 3400,DTB,OPT,0.1,buy,True
12,P OMSX 20220630 3425,DTB,OPT,0.1,buy,True
13,P OMSX 20220630 3450,DTB,OPT,0.1,buy,True
14,P OMSX 20220630 3475,DTB,OPT,0.1,buy,True
15,P OMSX 20220630 3500,DTB,OPT,0.1,buy,True
16,FSXE SEP 22,DTB,FUT,0.1,buy,True
