id,symbol,exchange,type,step
0,VIX   220615C00019000,SMART,OPT,0.05
1,VIX   220615C00020000,SMART,OPT,0.05
2,VIX   220615C00021000,SMART,OPT,0.05
3,VIX   220615C00022000,SMART,OPT,0.05
4,VIX   220615C00023000,SMART,OPT,0.05
5,VIX   220615C00024000,SMART,OPT,0.05
6,VIX   220615C00025000,SMART,OPT,0.05
7,VIX   220615C00026000,SMART,OPT,0.05
8,VIX   220615C00027000,SMART,OPT,0.05
9,VIX   220615C00028000,SMART,OPT,0.05
10,VIX   220615C00029000,SMART,OPT,0.05
11,VIX   220615C00030000,SMART,OPT,0.05
12,VIX   220615C00032500,SMART,OPT,0.05
